monthly_txn_count,avg_txn_amount_usd,wallet_balance_trend,airtime_recharge_freq,airtime_avg_amount_usd,has_savings_account,savings_consistency_score,monthly_savings_usd,has_prior_loan,prior_loan_repayment_rate,days_late_avg,network_diversity_score,bill_payment_regularity,merchant_payment_count,loan_amount_requested_usd,loan_duration_weeks,txn_intensity,savings_commitment_ratio,airtime_stability,no_prior_loan_flag
21,88.5,0.361,16,1.61,0,9.0,0.0,1,0.512,7.2,40.0,87.0,8,154.32,24,13.8919,0.0,0.0947,0
19,101.74,-1.367,12,1.91,1,71.0,39.19,1,0.564,23.3,74.0,88.0,9,108.2,8,13.8768,0.3814,0.1469,0
21,81.76,0.804,26,3.65,1,76.0,14.45,1,0.87,37.8,33.0,74.0,6,652.1,8,13.6499,0.1746,0.1352,0
14,78.79,0.896,14,2.08,1,82.0,22.78,1,0.951,25.1,39.0,64.0,2,751.98,12,11.8596,0.2855,0.1387,0
17,24.6,0.159,8,2.57,1,93.0,28.31,0,,,24.0,71.0,5,497.04,8,9.3723,1.1059,0.2856,1
20,190.3,0.623,13,8.65,0,7.0,0.0,1,0.719,0.7,45.0,67.0,1,265.25,52,15.9954,0.0,0.6179,0
31,81.7,1.166,35,13.68,1,80.0,29.97,0,,,23.0,79.0,15,149.49,8,15.302,0.3624,0.38,1
5,15.33,-0.259,16,5.44,0,1.0,0.0,1,0.895,3.3,32.0,54.0,5,162.97,4,5.0044,0.0,0.32,0
14,45.19,-0.383,23,2.42,0,4.0,0.0,0,,,41.0,76.0,10,1392.89,12,10.3793,0.0,0.1008,1
18,37.28,-0.388,14,2.39,0,1.0,0.0,0,,,13.0,72.0,6,839.8,8,10.7323,0.0,0.1593,1
11,64.29,-0.77,13,2.44,0,4.0,0.0,1,0.398,1.1,55.0,91.0,4,175.65,8,10.384,0.0,0.1743,0
7,19.63,0.088,11,1.15,0,6.0,0.0,1,0.81,0.7,62.0,63.0,4,79.0,8,6.2939,0.0,0.0958,0
8,15.31,-0.482,14,3.48,0,8.0,0.0,0,,,39.0,38.0,1,84.11,24,6.1342,0.0,0.232,1
19,24.39,-0.059,12,4.63,0,10.0,0.0,0,,,61.0,71.0,4,173.32,12,9.6893,0.0,0.3562,1
15,33.77,0.36,16,3.52,0,3.0,0.0,1,0.791,5.7,7.0,74.0,8,255.09,4,9.8392,0.0,0.2071,0
17,83.51,-0.564,12,2.42,1,79.0,20.21,1,0.453,1.6,35.0,67.0,4,157.29,24,12.8242,0.2391,0.1862,0
28,220.39,-0.183,17,1.86,0,1.0,0.0,1,0.933,2.2,90.0,59.0,7,334.9,12,18.1831,0.0,0.1033,0
6,47.27,-0.874,7,4.02,0,2.0,0.0,0,,,27.0,39.0,4,344.6,24,7.5439,0.0,0.5025,1
13,27.98,0.59,13,7.16,0,11.0,0.0,0,,,44.0,94.0,3,166.76,12,8.8847,0.0,0.5114,1
8,18.62,-0.908,14,3.06,1,82.0,19.4,1,0.947,0.4,73.0,61.0,5,216.51,4,6.5401,0.9888,0.204,0
23,54.37,0.864,10,2.35,1,77.0,21.63,0,,,42.0,84.0,10,1734.3,24,12.7568,0.3906,0.2136,1
15,43.12,-0.282,16,2.71,0,11.0,0.0,1,0.879,19.5,62.0,23.0,0,225.51,8,10.4996,0.0,0.1594,0
10,64.1,-1.314,8,2.51,1,68.0,13.24,0,,,71.0,22.0,5,217.59,12,10.0134,0.2034,0.2789,1
31,49.76,1.778,19,7.49,0,2.0,0.0,1,0.701,3.6,69.0,78.0,15,523.32,24,13.6103,0.0,0.3745,0
21,76.94,0.597,13,2.16,1,53.0,28.82,0,,,34.0,40.0,4,164.27,24,13.4644,0.3698,0.1543,1
15,18.98,0.938,20,4.42,0,1.0,0.0,0,,,34.0,80.0,5,138.21,8,8.3032,0.0,0.2105,1
22,36.08,0.323,18,10.14,0,2.0,0.0,1,0.645,10.9,33.0,43.0,5,250.6,8,11.3288,0.0,0.5337,0
9,20.81,0.641,7,1.28,0,13.0,0.0,1,0.763,53.8,37.0,29.0,3,124.86,4,7.0974,0.0,0.16,0
12,16.42,-0.606,12,1.71,0,4.0,0.0,1,0.697,11.7,80.0,37.0,3,150.05,12,7.3296,0.0,0.1315,0
39,182.75,1.505,22,8.4,1,41.0,39.23,0,,,47.0,93.0,7,281.2,8,19.2323,0.2135,0.3652,1
8,29.63,-0.584,10,1.52,0,3.0,0.0,0,,,19.0,57.0,3,342.88,8,7.5189,0.0,0.1382,1
23,115.04,0.162,15,2.08,0,9.0,0.0,0,,,48.0,73.0,7,577.97,24,15.1083,0.0,0.13,1
8,24.57,0.07,8,1.59,1,69.0,10.75,0,,,37.0,38.0,4,766.7,4,7.1221,0.4204,0.1767,1
27,31.88,0.127,13,1.72,0,1.0,0.0,1,0.897,5.5,31.0,65.0,8,443.37,8,11.6389,0.0,0.1229,0
13,57.28,-0.681,19,5.14,1,67.0,22.52,1,0.515,5.1,12.0,93.0,4,120.01,12,10.7285,0.3864,0.257,0
41,42.07,0.916,16,2.57,0,0.0,0.0,1,0.955,9.9,69.0,61.0,9,231.27,12,14.0642,0.0,0.1512,0
13,74.58,0.211,8,1.21,1,46.0,14.4,1,0.64,23.5,46.0,42.0,2,149.11,8,11.4144,0.1905,0.1344,0
14,85.13,0.561,16,2.45,1,65.0,30.45,1,0.61,4.6,32.0,84.0,4,464.74,12,12.0667,0.3535,0.1441,0
18,70.64,0.723,16,3.52,1,31.0,21.97,1,0.892,8.9,32.0,80.0,3,451.91,24,12.5776,0.3067,0.2071,0
23,54.01,0.037,20,3.21,1,49.0,31.33,0,,,56.0,55.0,4,370.93,4,12.7361,0.5695,0.1529,1
20,50.54,1.012,17,1.63,1,63.0,22.64,1,0.797,5.8,37.0,91.0,13,667.65,24,12.0026,0.4393,0.0906,0
9,16.46,1.047,16,4.21,0,16.0,0.0,0,,,74.0,69.0,4,1147.92,4,6.5852,0.0,0.2476,1
14,37.87,-0.608,13,2.7,0,4.0,0.0,1,0.365,0.0,79.0,67.0,9,645.23,4,9.9121,0.0,0.1929,0
20,31.53,0.041,15,2.47,1,51.0,19.63,1,0.799,10.7,64.0,86.0,6,851.38,24,10.6015,0.6034,0.1544,0
13,35.33,-1.139,8,2.49,0,4.0,0.0,0,,,23.0,86.0,6,80.06,4,9.4812,0.0,0.2767,1
12,37.69,0.147,22,1.72,1,54.0,19.62,1,0.716,5.3,29.0,91.0,5,179.95,12,9.3764,0.5071,0.0748,0
23,36.48,0.183,2,3.55,0,10.0,0.0,1,0.818,11.1,30.0,37.0,6,213.5,4,11.5167,0.0,1.1833,0
11,73.09,0.256,11,0.81,1,61.0,4.94,0,,,35.0,34.0,6,238.75,12,10.6982,0.0667,0.0675,1
11,30.01,-0.608,13,8.21,1,45.0,44.79,1,0.587,6.3,29.0,30.0,3,89.46,24,8.5339,1.4444,0.5864,0
12,55.77,-0.651,14,2.68,1,64.0,18.39,0,,,28.0,19.0,1,550.99,8,10.3599,0.3239,0.1787,1
15,66.25,0.201,12,12.56,0,3.0,0.0,1,0.796,5.9,71.0,68.0,5,118.12,12,11.6682,0.0,0.9662,0
35,79.28,0.597,19,6.49,0,0.0,0.0,1,0.906,5.2,62.0,82.0,10,485.45,12,15.7156,0.0,0.3245,0
5,37.9,-0.801,16,2.91,1,74.0,20.07,0,,,65.0,61.0,2,65.3,8,6.5596,0.5159,0.1712,1
13,49.41,-0.021,17,3.17,0,11.0,0.0,0,,,44.0,88.0,2,540.68,12,10.3456,0.0,0.1761,1
12,39.05,-0.546,11,2.89,0,2.0,0.0,0,,,62.0,95.0,3,227.84,12,9.465,0.0,0.2408,1
12,59.45,-0.115,17,1.49,1,93.0,8.68,1,0.661,1.2,69.0,22.0,4,216.74,4,10.521,0.1436,0.0828,0
18,51.21,-1.261,10,5.64,1,70.0,38.71,0,,,34.0,59.0,3,169.29,12,11.6461,0.7414,0.5127,1
17,53.09,0.282,13,2.33,1,75.0,20.74,1,0.967,49.5,64.0,84.0,2,693.98,24,11.5345,0.3834,0.1664,0
14,26.53,-0.085,18,1.46,0,3.0,0.0,0,,,60.0,45.0,6,81.06,12,8.9779,0.0,0.0768,1
21,21.2,0.183,17,1.86,1,69.0,53.64,1,0.68,6.9,27.0,26.0,7,221.05,12,9.5825,2.4162,0.1033,0
10,20.8,-0.006,14,1.34,1,75.0,29.75,1,0.942,18.9,3.0,24.0,3,171.93,12,7.3901,1.3647,0.0893,0
14,45.56,-0.375,10,1.96,1,69.0,16.6,0,,,47.0,20.0,4,387.41,12,10.4009,0.3565,0.1782,1
14,16.57,0.885,11,2.6,1,74.0,27.18,1,0.579,26.4,38.0,79.0,0,448.01,12,7.7618,1.547,0.2167,0
31,127.32,-0.256,14,4.19,0,3.0,0.0,1,0.807,8.9,25.0,64.0,9,140.95,8,16.8245,0.0,0.2793,0
5,20.56,0.317,2,1.38,0,1.0,0.0,0,,,40.0,64.0,3,59.29,8,5.5022,0.0,0.46,1
21,98.19,0.925,12,4.59,1,92.0,45.72,1,0.854,12.7,41.0,56.0,9,1515.24,12,14.2096,0.4609,0.3531,0
16,76.34,0.173,9,5.53,0,7.0,0.0,0,,,25.0,39.0,7,796.98,4,12.3194,0.0,0.553,1
21,48.09,0.52,14,1.56,1,70.0,42.61,0,,,31.0,43.0,3,219.5,24,12.0355,0.868,0.104,1
9,13.2,0.056,11,1.17,0,2.0,0.0,0,,,21.0,28.0,1,140.76,24,6.1093,0.0,0.0975,1
18,63.12,-0.435,10,1.66,0,5.0,0.0,0,,,70.0,83.0,3,225.85,8,12.2511,0.0,0.1509,1
22,28.64,0.525,17,4.61,0,1.0,0.0,0,,,25.0,83.0,8,592.32,12,10.6266,0.0,0.2561,1
19,72.19,-0.849,15,2.11,1,40.0,12.6,0,,,27.0,79.0,7,383.89,8,12.8609,0.1722,0.1319,1
27,117.66,0.301,18,11.53,1,54.0,52.64,1,0.898,20.2,86.0,66.0,12,278.53,8,15.9155,0.4436,0.6068,0
13,29.28,-1.153,12,5.68,0,11.0,0.0,1,0.965,5.6,46.0,49.0,5,796.8,8,9.0005,0.0,0.4369,0
15,28.14,-0.591,20,3.55,1,33.0,8.72,1,0.894,15.2,49.0,69.0,5,249.28,8,9.3495,0.2992,0.169,0
24,13.97,0.48,16,4.86,0,2.0,0.0,0,,,61.0,65.0,11,586.11,12,8.7104,0.0,0.2859,1
18,41.49,-0.2,13,7.81,1,96.0,14.48,1,0.804,17.3,54.0,61.0,6,188.63,24,11.0395,0.3408,0.5579,0
17,173.79,-0.722,11,2.65,0,2.0,0.0,1,0.866,7.1,45.0,62.0,10,637.44,12,14.9247,0.0,0.2208,0
22,16.0,-0.138,18,3.88,1,93.0,17.89,0,,,69.0,82.0,7,128.32,4,8.8835,1.0524,0.2042,1
17,82.7,1.16,15,3.01,1,61.0,23.07,0,,,90.0,63.0,4,306.7,4,12.7964,0.2756,0.1881,1
21,14.17,1.125,17,3.41,0,6.0,0.0,0,,,24.0,75.0,4,445.55,12,8.4055,0.0,0.1894,1
12,39.72,-0.413,10,1.9,0,7.0,0.0,1,0.752,7.0,64.0,99.0,8,200.66,24,9.5075,0.0,0.1727,0
20,75.39,-0.304,13,2.17,0,0.0,0.0,1,0.96,3.3,53.0,38.0,4,318.63,8,13.2006,0.0,0.155,0
12,25.61,0.65,11,2.9,0,7.0,0.0,0,,,69.0,60.0,4,257.17,8,8.4163,0.0,0.2417,1
12,20.03,-0.991,21,2.99,1,81.0,13.28,0,,,29.0,40.0,5,257.57,52,7.8127,0.6315,0.1359,1
13,104.43,0.103,22,6.67,0,12.0,0.0,1,0.95,8.0,10.0,51.0,4,583.42,4,12.2929,0.0,0.29,0
12,16.47,-0.517,15,3.71,0,9.0,0.0,0,,,17.0,75.0,8,256.7,24,7.337,0.0,0.2319,1
13,22.57,1.033,11,0.62,1,57.0,4.64,0,,,49.0,57.0,0,167.94,8,8.3394,0.1969,0.0517,1
8,34.63,-0.01,6,4.55,1,76.0,14.66,1,0.544,11.1,63.0,84.0,1,201.01,4,7.8511,0.4115,0.65,0
20,28.84,0.54,18,2.15,0,6.0,0.0,1,0.853,3.8,75.0,43.0,4,185.2,24,10.3387,0.0,0.1132,0
15,34.08,-0.134,12,1.48,0,6.0,0.0,0,,,53.0,71.0,2,282.19,4,9.8638,0.0,0.1138,1
23,140.17,-0.413,10,5.11,0,11.0,0.0,0,,,46.0,82.0,7,85.66,8,15.7313,0.0,0.4645,1
9,18.73,-0.959,9,1.15,1,75.0,18.32,0,,,44.0,62.0,1,176.58,8,6.8666,0.9285,0.115,1
16,67.7,0.219,14,2.09,0,3.0,0.0,0,,,34.0,52.0,5,565.13,4,11.9838,0.0,0.1393,1
14,36.46,0.542,15,3.86,1,54.0,48.64,1,0.795,0.4,82.0,33.0,6,331.8,8,9.812,1.2985,0.2412,0
23,61.1,-0.147,11,2.17,0,0.0,0.0,0,,,39.0,78.0,5,552.87,4,13.1214,0.0,0.1808,1
12,35.26,0.406,20,5.23,0,9.0,0.0,0,,,34.0,44.0,5,635.03,52,9.21,0.0,0.249,1
6,35.19,0.211,10,3.02,0,9.0,0.0,0,,,75.0,77.0,1,172.29,4,6.9834,0.0,0.2745,1
9,32.75,-1.651,10,2.89,1,49.0,12.9,1,0.382,14.9,16.0,39.0,3,103.14,52,8.1028,0.3822,0.2627,0
9,32.51,-0.507,10,2.87,0,2.0,0.0,1,0.769,11.8,21.0,94.0,9,93.06,24,8.0863,0.0,0.2609,0
6,38.99,-0.788,14,1.59,0,1.0,0.0,1,0.889,0.2,45.0,68.0,4,46.25,12,7.1777,0.0,0.106,0
27,29.64,0.399,16,2.93,0,0.0,0.0,1,0.833,1.1,79.0,43.0,9,260.23,4,11.4038,0.0,0.1724,0
9,74.07,0.219,10,11.81,0,0.0,0.0,0,,,68.0,54.0,4,387.34,4,9.9435,0.0,1.0736,1
27,282.43,-0.567,28,2.87,1,42.0,29.0,0,,,50.0,73.0,13,556.03,8,18.8168,0.1023,0.099,1
21,42.64,-0.262,18,4.21,1,75.0,12.38,0,,,68.0,89.0,5,147.32,12,11.6717,0.2837,0.2216,1
20,70.96,-0.379,17,4.28,0,16.0,0.0,0,,,66.0,75.0,7,862.08,12,13.0187,0.0,0.2378,1
20,77.0,0.078,15,3.92,1,57.0,23.87,0,,,80.0,32.0,7,509.96,8,13.2641,0.306,0.245,1
36,147.64,1.184,16,5.12,1,31.0,41.58,0,,,85.0,67.0,15,933.38,12,18.0601,0.2797,0.3012,1
26,74.15,-0.102,15,9.08,1,67.0,20.24,1,0.862,7.1,53.0,57.0,5,303.42,24,14.2363,0.2693,0.5675,0
10,21.82,-0.506,13,1.55,0,1.0,0.0,1,0.872,2.9,36.0,24.0,2,163.58,4,7.4997,0.0,0.1107,0
10,50.93,-0.234,12,1.29,0,5.0,0.0,0,,,46.0,55.0,4,116.49,52,9.4714,0.0,0.0992,1
25,62.74,0.502,22,7.62,0,2.0,0.0,0,,,32.0,76.0,14,568.09,8,13.5368,0.0,0.3313,1
13,120.83,0.575,13,3.53,0,1.0,0.0,0,,,44.0,63.0,7,340.43,8,12.6744,0.0,0.2521,1
8,15.2,0.992,9,2.07,0,16.0,0.0,1,0.603,0.7,53.0,37.0,6,407.03,12,6.1193,0.0,0.207,0
15,49.55,-1.358,14,2.88,0,1.0,0.0,0,,,72.0,57.0,3,264.51,4,10.8768,0.0,0.192,1
28,210.81,0.968,15,1.39,1,85.0,33.96,0,,,80.0,60.0,7,381.79,24,18.0342,0.1603,0.0869,1
13,57.88,0.338,11,3.95,1,64.0,23.01,1,0.608,0.1,49.0,97.0,5,1171.03,12,10.7555,0.3908,0.3292,0
18,49.42,-0.854,15,2.04,0,13.0,0.0,0,,,12.0,81.0,6,292.54,12,11.5433,0.0,0.1275,1
8,26.87,0.756,8,3.87,0,5.0,0.0,0,,,69.0,37.0,4,560.37,12,7.3114,0.0,0.43,1
14,40.17,-0.206,13,2.5,1,41.0,41.1,1,0.917,26.4,21.0,59.0,7,141.24,52,10.0677,0.9983,0.1786,0
13,50.74,0.598,8,2.64,0,9.0,0.0,0,,,68.0,49.0,1,172.67,12,10.4143,0.0,0.2933,1
14,39.14,0.728,14,2.72,1,91.0,16.48,1,0.986,0.5,48.0,51.0,8,240.0,8,9.9991,0.4106,0.1813,0
12,63.02,0.578,14,1.47,1,68.0,20.77,0,,,62.0,42.0,7,224.87,4,10.6681,0.3244,0.098,1
22,36.21,-0.425,20,2.52,1,81.0,20.46,1,0.597,8.7,53.0,74.0,11,116.34,4,11.3398,0.5499,0.12,0
20,102.28,0.775,12,3.35,0,2.0,0.0,1,0.538,8.9,86.0,48.0,7,71.9,8,14.1188,0.0,0.2577,0
7,31.74,-0.717,5,1.43,0,7.0,0.0,0,,,40.0,86.0,2,149.47,4,7.2543,0.0,0.2383,1
21,241.81,0.516,13,3.79,1,67.0,39.69,1,0.962,16.5,80.0,89.0,7,165.84,8,16.9769,0.1635,0.2707,0
19,101.76,-0.014,23,1.96,0,9.0,0.0,0,,,14.0,80.0,6,215.01,52,13.8774,0.0,0.0817,1
8,30.31,-0.357,11,2.27,0,5.0,0.0,0,,,39.0,71.0,1,135.81,4,7.5671,0.0,0.1892,1
19,44.85,0.612,12,3.74,0,1.0,0.0,0,,,56.0,53.0,8,145.91,8,11.4598,0.0,0.2877,1
28,21.68,0.294,22,6.54,0,3.0,0.0,1,0.979,1.1,64.0,70.0,11,1135.29,8,10.511,0.0,0.2843,0
26,194.19,1.122,17,6.76,0,2.0,0.0,1,0.781,10.9,49.0,49.0,12,428.23,12,17.3822,0.0,0.3756,0
18,17.88,-0.093,12,1.93,1,56.0,18.31,0,,,47.0,85.0,3,314.23,4,8.6511,0.9698,0.1485,1
9,30.68,-0.074,14,2.15,0,11.0,0.0,1,0.558,2.3,78.0,79.0,5,1229.51,12,7.957,0.0,0.1433,0
22,126.08,0.321,10,2.96,0,2.0,0.0,1,0.536,6.2,71.0,84.0,10,691.19,12,15.1909,0.0,0.2691,0
15,40.91,-0.439,9,1.38,0,4.0,0.0,0,,,19.0,86.0,2,141.7,12,10.3571,0.0,0.138,1
17,98.18,-0.491,11,1.38,0,10.0,0.0,0,,,63.0,92.0,4,502.53,4,13.2869,0.0,0.115,1
17,27.75,0.645,14,3.36,0,5.0,0.0,0,,,41.0,91.0,10,706.33,8,9.7077,0.0,0.224,1
16,38.48,1.021,11,3.12,0,16.0,0.0,0,,,55.0,50.0,5,717.62,24,10.4143,0.0,0.26,1
14,56.18,0.63,13,1.57,0,5.0,0.0,0,,,54.0,62.0,7,244.4,4,10.9573,0.0,0.1121,1
23,93.42,1.291,26,3.14,1,59.0,53.64,1,0.837,2.1,47.0,41.0,7,133.32,8,14.453,0.5681,0.1163,0
11,8.05,0.79,7,1.33,1,16.0,20.95,0,,,5.0,36.0,3,184.32,12,5.4737,2.3149,0.1662,1
17,39.61,0.144,16,2.85,1,73.0,29.25,0,,,12.0,49.0,4,296.39,12,10.706,0.7203,0.1676,1
33,63.13,0.265,29,2.95,0,7.0,0.0,0,,,63.0,53.0,14,742.55,4,14.6729,0.0,0.0983,1
21,44.78,0.648,12,2.14,1,52.0,21.83,0,,,70.0,90.0,6,553.83,24,11.8197,0.4768,0.1646,1
27,39.21,1.029,12,2.8,0,4.0,0.0,0,,,66.0,93.0,8,493.14,4,12.3095,0.0,0.2154,1
9,26.58,0.057,11,0.89,0,1.0,0.0,1,0.597,42.1,36.0,32.0,1,178.9,8,7.6379,0.0,0.0742,0
32,80.49,0.503,17,4.23,1,64.0,30.07,0,,,54.0,72.0,10,292.69,8,15.3863,0.369,0.235,1
12,60.44,-0.175,15,3.05,0,1.0,0.0,1,0.815,12.7,52.0,63.0,2,334.78,4,10.5626,0.0,0.1906,0
19,112.22,0.145,19,4.87,0,2.0,0.0,1,0.934,4.9,42.0,47.0,5,142.25,12,14.1678,0.0,0.2435,0
17,31.6,1.51,8,1.91,0,6.0,0.0,0,,,31.0,77.0,6,342.82,8,10.071,0.0,0.2122,1
20,25.51,-0.951,14,4.47,0,6.0,0.0,1,0.605,4.1,62.0,96.0,3,281.15,24,9.9785,0.0,0.298,0
13,36.67,-0.764,11,0.93,1,75.0,18.73,0,,,50.0,92.0,4,162.28,8,9.5768,0.4972,0.0775,1
10,44.4,-0.834,13,3.53,1,80.0,27.79,1,0.699,2.2,75.0,92.0,0,82.7,8,9.1492,0.6121,0.2521,0
15,20.25,-0.15,7,2.43,0,8.0,0.0,0,,,31.0,86.0,7,322.5,24,8.474,0.0,0.3038,1
12,26.56,0.318,14,6.66,1,46.0,16.55,0,,,39.0,74.0,2,226.34,24,8.5063,0.6005,0.444,1
19,79.35,0.073,20,1.92,0,2.0,0.0,1,0.807,17.5,20.0,50.0,3,141.17,8,13.1405,0.0,0.0914,0
16,79.43,0.173,13,4.24,0,16.0,0.0,1,0.5,14.1,30.0,56.0,6,364.94,8,12.4304,0.0,0.3029,0
11,21.49,0.296,13,1.87,0,7.0,0.0,1,0.873,1.5,7.0,2.0,2,156.6,24,7.7357,0.0,0.1336,0
33,127.65,0.314,21,7.05,0,20.0,0.0,0,,,52.0,48.0,1,291.02,4,17.1279,0.0,0.3205,1
28,51.94,0.887,19,4.58,1,66.0,29.36,0,,,41.0,65.0,6,308.8,24,13.3653,0.5546,0.229,1
22,44.74,0.444,23,1.59,1,50.0,30.06,0,,,75.0,51.0,15,249.48,4,11.9869,0.6572,0.0662,1
36,34.14,0.143,25,1.5,1,91.0,45.03,0,,,57.0,61.0,6,372.38,4,12.8525,1.2814,0.0577,1
12,11.52,-0.028,8,2.15,0,0.0,0.0,0,,,17.0,36.0,2,47.13,8,6.4825,0.0,0.2389,1
3,14.97,0.188,4,0.83,0,5.0,0.0,1,0.656,8.1,39.0,45.0,0,276.68,4,3.841,0.0,0.166,0
12,14.63,0.654,10,3.61,0,1.0,0.0,0,,,65.0,56.0,8,462.42,8,7.0515,0.0,0.3282,1
18,62.12,0.017,10,4.51,0,3.0,0.0,1,0.93,5.7,42.0,38.0,3,152.37,4,12.2048,0.0,0.41,0
24,105.05,0.81,10,2.84,0,10.0,0.0,0,,,70.0,79.0,4,278.19,8,15.0125,0.0,0.2582,1
13,15.49,0.613,11,3.44,0,6.0,0.0,1,0.536,22.4,11.0,54.0,5,238.35,4,7.3966,0.0,0.2867,0
13,32.02,0.736,16,3.8,1,59.0,27.87,0,,,65.0,64.0,4,280.91,24,9.2291,0.844,0.2235,1
15,13.74,-0.109,20,1.91,0,1.0,0.0,0,,,20.0,72.0,5,65.97,8,7.4598,0.0,0.091,1
18,49.66,0.913,14,2.98,0,5.0,0.0,1,0.938,5.9,16.0,36.0,5,320.31,8,11.5573,0.0,0.1987,0
16,40.44,-0.677,14,4.28,1,90.0,25.91,1,0.765,25.7,14.0,56.0,5,339.93,12,10.5516,0.6252,0.2853,0
13,51.17,-0.357,16,4.04,0,9.0,0.0,0,,,81.0,71.0,5,932.29,8,10.4362,0.0,0.2376,1
18,31.84,1.142,16,2.65,0,4.0,0.0,1,0.913,22.3,58.0,43.0,9,101.33,8,10.2809,0.0,0.1559,0
13,31.58,-1.571,14,3.07,0,3.0,0.0,0,,,40.0,87.0,6,477.14,24,9.1937,0.0,0.2047,1
13,47.85,1.013,17,4.62,0,10.0,0.0,1,0.561,16.8,49.0,56.0,6,686.33,8,10.2626,0.0,0.2567,0
24,98.15,1.373,13,4.74,1,13.0,27.11,0,,,34.0,46.0,6,68.5,4,14.796,0.2734,0.3386,1
11,15.81,-0.614,10,4.16,0,7.0,0.0,0,,,63.0,59.0,2,235.42,8,7.0123,0.0,0.3782,1
27,52.91,0.09,18,4.7,1,22.0,36.6,1,0.824,28.9,57.0,51.0,8,1157.98,52,13.2866,0.6789,0.2474,0
14,33.96,0.571,15,1.66,0,4.0,0.0,0,,,19.0,85.0,5,110.04,12,9.625,0.0,0.1038,1
18,15.38,0.133,16,1.31,1,89.0,25.87,1,0.761,16.6,58.0,75.0,5,334.14,8,8.2328,1.5794,0.0771,0
7,26.65,-0.495,15,1.52,1,72.0,27.38,0,,,42.0,41.0,1,121.4,8,6.903,0.9902,0.095,1
14,8.22,0.744,11,2.72,1,62.0,6.5,1,0.692,1.6,54.0,71.0,6,255.68,12,6.0156,0.705,0.2267,0
9,37.56,-0.606,16,3.4,0,10.0,0.0,1,0.975,7.7,18.0,46.0,2,227.49,4,8.4095,0.0,0.2,0
14,39.02,0.738,16,2.21,0,12.0,0.0,1,0.827,2.9,9.0,95.0,4,329.19,8,9.991,0.0,0.13,0
13,23.0,0.128,8,2.6,0,2.0,0.0,0,,,52.0,81.0,2,104.42,8,8.3871,0.0,0.2889,1
17,32.88,0.719,9,7.13,1,55.0,44.92,0,,,36.0,55.0,7,446.67,12,10.1823,1.3259,0.713,1
11,42.4,-0.376,12,3.2,0,4.0,0.0,0,,,70.0,55.0,9,584.49,4,9.3692,0.0,0.2462,1
8,55.46,-0.635,12,1.4,1,85.0,6.76,0,,,54.0,60.0,5,327.5,8,8.8626,0.1197,0.1077,1
13,42.68,0.289,8,0.76,0,0.0,0.0,0,,,16.0,67.0,8,465.7,8,9.9674,0.0,0.0844,1
17,43.33,-0.095,17,8.08,0,1.0,0.0,0,,,35.0,36.0,3,306.44,12,10.9593,0.0,0.4489,1
19,59.93,0.364,17,3.01,0,1.0,0.0,1,0.659,1.3,55.0,12.0,4,533.5,4,12.3116,0.0,0.1672,0
16,20.39,-0.587,15,4.33,1,61.0,22.94,0,,,57.0,40.0,7,411.87,8,8.6779,1.0725,0.2706,1
28,52.54,0.383,11,2.41,1,63.0,27.66,0,,,38.0,76.0,5,203.16,4,13.4033,0.5166,0.2008,1
12,22.28,-1.299,9,2.55,0,3.0,0.0,1,0.664,3.4,82.0,79.0,1,166.62,4,8.0734,0.0,0.255,0
14,27.34,-0.727,12,2.55,1,59.0,16.92,1,0.693,4.8,35.0,68.0,3,213.8,12,9.0565,0.597,0.1962,0
15,219.98,1.114,15,4.91,0,19.0,0.0,0,,,23.0,53.0,7,500.11,4,14.9666,0.0,0.3069,1
9,30.54,0.181,7,2.8,1,33.0,29.2,0,,,38.0,43.0,1,158.74,8,7.9468,0.9258,0.35,1
17,72.76,0.691,22,2.39,0,7.0,0.0,0,,,65.0,62.0,4,332.18,4,12.431,0.0,0.1039,1
23,104.66,1.887,20,4.01,1,93.0,82.58,0,,,64.0,96.0,5,227.88,8,14.8105,0.7816,0.191,1
8,78.26,-0.2,12,2.25,0,2.0,0.0,0,,,67.0,87.0,4,174.82,12,9.6079,0.0,0.1731,1
18,39.18,-0.544,10,4.43,1,76.0,14.99,1,0.877,2.4,90.0,49.0,2,625.02,8,10.8749,0.3731,0.4027,0
14,28.26,0.718,5,2.95,1,78.0,12.99,1,0.64,16.9,44.0,80.0,3,265.68,12,9.143,0.444,0.4917,0
23,146.58,1.948,14,2.3,1,75.0,24.69,1,0.714,9.2,49.0,63.0,10,667.53,52,15.8724,0.1673,0.1533,0
15,67.14,0.432,13,1.62,0,17.0,0.0,1,0.712,13.4,67.0,81.0,4,135.53,8,11.7047,0.0,0.1157,0
12,62.27,0.917,15,2.36,0,2.0,0.0,1,0.727,6.5,51.0,26.0,3,379.3,12,10.6379,0.0,0.1475,0
14,155.91,-0.13,6,7.2,1,71.0,14.36,0,,,79.0,56.0,4,205.96,4,13.691,0.0915,1.0286,1
28,264.56,0.658,17,3.9,1,53.0,15.37,0,,,20.0,65.0,10,377.3,12,18.7957,0.0579,0.2167,1
6,13.0,-0.925,3,2.17,1,45.0,64.52,0,,,21.0,61.0,2,258.51,52,5.1354,4.6086,0.5425,1
16,48.84,-0.206,7,2.01,0,1.0,0.0,0,,,49.0,67.0,4,90.34,4,11.0745,0.0,0.2512,1
