region,gender,age,occupation,monthly_txn_count,avg_txn_amount_usd,wallet_balance_trend,airtime_recharge_freq,airtime_avg_amount_usd,has_savings_account,savings_consistency_score,monthly_savings_usd,has_prior_loan,prior_loan_repayment_rate,days_late_avg,network_diversity_score,bill_payment_regularity,merchant_payment_count,loan_amount_requested_usd,loan_duration_weeks,repaid
Southern Africa,Female,46,Farmer,14,33.19,-0.345,11,3.81,1,40.0,30.71,1,0.928,9.3,18.0,76.0,3,53.31,12,1
Southern Africa,Male,37,Farmer,15,23.77,-1.019,16,2.38,0,10.0,0.0,0,,,52.0,57.0,0,157.49,8,1
West Africa,Female,43,Trader,10,22.34,-0.582,11,2.74,0,5.0,0.0,1,0.885,4.2,19.0,17.0,1,398.73,24,0
East Africa,Female,46,Farmer,17,32.13,0.136,11,2.21,0,8.0,0.0,1,0.473,6.5,45.0,46.0,7,1122.34,52,0
West Africa,Female,47,Salaried,17,79.19,0.24,22,2.94,0,3.0,0.0,0,,,13.0,73.0,8,1485.21,4,0
Central Africa,Female,18,Salaried,22,22.21,0.954,21,5.52,1,64.0,41.98,0,,,55.0,78.0,7,243.4,24,1
West Africa,Male,63,Farmer,17,38.43,0.586,8,7.68,1,38.0,23.65,0,,,53.0,72.0,5,649.73,24,1
East Africa,Male,45,Farmer,14,45.39,-0.059,20,2.15,0,11.0,0.0,0,,,60.0,81.0,4,204.46,12,0
West Africa,Female,41,Trader,27,51.83,0.597,9,3.04,1,72.0,11.42,1,0.929,29.3,76.0,77.0,10,100.09,4,0
East Africa,Male,35,Self-employed,16,50.02,0.879,13,0.76,0,1.0,0.0,1,0.895,44.7,22.0,94.0,4,287.62,8,1
East Africa,Male,22,Farmer,19,22.55,1.355,19,4.54,1,47.0,23.34,1,0.806,5.7,69.0,78.0,5,372.72,12,1
Southern Africa,Male,47,Farmer,8,44.75,-0.176,10,0.9,1,40.0,25.31,0,,,40.0,84.0,5,204.77,12,1
West Africa,Male,35,Farmer,8,37.2,0.112,7,1.41,1,91.0,18.07,0,,,56.0,71.0,4,219.18,8,1
Central Africa,Male,60,Trader,23,71.45,0.184,15,3.15,0,10.0,0.0,1,0.579,16.0,71.0,43.0,3,2133.07,4,1
East Africa,Male,48,Farmer,13,75.41,-1.16,13,2.24,1,75.0,31.77,0,,,47.0,82.0,4,315.42,12,0
Southern Africa,Female,38,Self-employed,13,34.26,-0.868,13,3.35,0,2.0,0.0,1,0.86,1.1,57.0,84.0,3,242.28,8,0
Southern Africa,Male,19,Trader,12,30.53,-0.643,13,3.01,0,0.0,0.0,1,0.647,2.6,55.0,60.0,2,153.21,12,1
Central Africa,Male,44,Trader,7,59.83,-0.635,4,1.61,1,59.0,18.39,0,,,22.0,40.0,3,544.46,8,1
West Africa,Male,57,Trader,8,19.6,-0.013,11,2.41,1,17.0,30.92,1,0.856,19.0,48.0,57.0,7,90.1,24,1
West Africa,Female,39,Trader,8,83.22,-0.648,14,1.03,0,3.0,0.0,0,,,58.0,84.0,7,143.25,4,0
West Africa,Female,48,Self-employed,18,156.9,-0.094,16,2.38,1,85.0,27.4,0,,,69.0,38.0,3,625.83,4,1
West Africa,Female,23,Informal worker,29,150.49,0.738,23,3.5,1,47.0,60.13,0,,,60.0,65.0,8,406.23,4,1
East Africa,Female,37,Self-employed,6,23.48,-0.798,6,1.42,0,6.0,0.0,1,0.863,15.8,43.0,23.0,3,113.24,12,1
Central Africa,Prefer not to say,55,Salaried,10,35.68,-0.574,15,3.68,0,3.0,0.0,0,,,17.0,83.0,2,117.21,4,0
Central Africa,Female,37,Informal worker,8,99.23,-0.243,15,2.27,0,1.0,0.0,0,,,18.0,82.0,4,204.14,4,0
East Africa,Female,59,Informal worker,13,80.92,0.781,14,1.21,1,82.0,49.08,0,,,37.0,56.0,5,115.13,4,1
East Africa,Male,37,Farmer,15,54.07,0.279,8,1.78,0,6.0,0.0,0,,,72.0,33.0,5,182.2,24,1
Central Africa,Female,56,Informal worker,7,14.17,-0.636,12,1.23,1,67.0,20.79,0,,,54.0,68.0,0,617.79,8,1
Central Africa,Male,48,Informal worker,15,111.38,0.461,12,1.01,0,4.0,0.0,0,,,23.0,45.0,1,675.54,8,1
West Africa,Female,62,Informal worker,24,103.66,0.213,12,11.61,0,5.0,0.0,0,,,60.0,45.0,17,1375.48,8,1
East Africa,Male,43,Farmer,20,65.36,-0.051,14,1.83,0,3.0,0.0,1,0.451,5.2,70.0,31.0,9,120.09,24,1
Southern Africa,Male,39,Informal worker,8,54.18,-0.497,7,1.71,0,8.0,0.0,0,,,26.0,63.0,2,34.41,12,1
West Africa,Male,34,Trader,11,36.06,0.55,17,3.19,1,75.0,18.79,1,0.739,25.6,60.0,98.0,2,217.72,8,1
East Africa,Female,48,Informal worker,26,93.81,0.745,17,7.82,1,59.0,79.06,1,0.815,0.8,45.0,72.0,7,497.31,8,1
Central Africa,Female,64,Farmer,15,61.09,0.51,25,5.91,1,64.0,26.3,1,0.595,7.3,22.0,58.0,10,336.3,4,1
Central Africa,Male,25,Farmer,28,48.7,1.001,20,6.3,0,1.0,0.0,1,0.911,6.9,45.0,74.0,6,87.99,24,1
Central Africa,Male,62,Farmer,12,67.28,-0.078,12,1.5,0,3.0,0.0,0,,,8.0,42.0,7,207.44,4,0
Southern Africa,Male,63,Salaried,24,65.86,-0.293,25,2.51,1,25.0,13.58,1,0.941,5.0,38.0,40.0,8,673.4,12,0
West Africa,Female,54,Salaried,13,42.74,-0.541,11,3.18,1,77.0,43.16,0,,,86.0,71.0,4,183.74,8,1
West Africa,Male,45,Farmer,16,50.72,-0.705,12,2.48,0,6.0,0.0,0,,,33.0,62.0,7,332.55,4,0
East Africa,Male,58,Farmer,21,12.42,-0.588,11,1.37,0,6.0,0.0,0,,,17.0,36.0,6,591.18,8,0
East Africa,Female,30,Trader,7,73.59,-0.491,9,1.44,1,51.0,35.96,0,,,52.0,22.0,3,253.43,24,1
East Africa,Female,47,Trader,11,16.27,-1.046,6,1.25,0,3.0,0.0,1,0.898,7.5,11.0,29.0,1,531.26,8,0
East Africa,Female,55,Trader,16,114.98,0.003,16,2.39,0,10.0,0.0,0,,,62.0,52.0,7,866.97,52,0
East Africa,Female,55,Salaried,17,43.48,-0.675,8,2.23,0,9.0,0.0,1,0.925,1.0,82.0,61.0,3,724.98,24,0
Southern Africa,Female,45,Salaried,19,69.31,0.716,15,1.3,1,93.0,18.91,0,,,61.0,85.0,5,347.3,52,1
West Africa,Male,36,Trader,11,61.42,-0.49,15,1.95,0,9.0,0.0,1,0.886,2.1,39.0,84.0,3,1248.89,12,0
West Africa,Male,62,Salaried,8,25.54,-1.02,7,2.31,0,3.0,0.0,1,0.674,7.7,11.0,86.0,1,80.53,12,1
West Africa,Prefer not to say,49,Farmer,16,17.75,-0.237,8,1.47,1,27.0,13.41,1,0.933,12.1,78.0,22.0,1,116.06,8,1
West Africa,Male,54,Salaried,29,170.4,-0.323,18,3.91,1,63.0,39.61,1,0.721,1.0,64.0,88.0,13,1534.65,52,1
Central Africa,Female,47,Farmer,16,73.08,0.105,7,1.86,0,7.0,0.0,0,,,29.0,84.0,4,62.31,24,1
East Africa,Male,59,Informal worker,14,68.9,-0.568,14,4.86,0,1.0,0.0,1,0.729,29.8,71.0,36.0,7,2043.5,8,0
West Africa,Male,40,Farmer,13,82.04,0.391,11,1.72,0,5.0,0.0,0,,,55.0,53.0,5,315.64,4,1
Southern Africa,Male,43,Trader,4,34.09,-0.751,16,1.27,1,95.0,21.33,1,0.885,19.9,41.0,44.0,1,197.55,4,1
East Africa,Female,55,Trader,21,30.46,0.013,18,5.19,0,7.0,0.0,0,,,79.0,95.0,5,339.3,12,0
West Africa,Female,42,Informal worker,19,87.44,0.719,12,4.85,0,2.0,0.0,0,,,22.0,54.0,10,535.81,12,0
West Africa,Male,29,Self-employed,8,30.22,-0.11,9,2.87,0,5.0,0.0,1,0.772,15.4,38.0,63.0,3,70.04,24,1
West Africa,Male,53,Informal worker,20,64.19,-0.978,13,2.66,0,14.0,0.0,1,0.881,10.5,48.0,44.0,6,120.13,12,1
Southern Africa,Male,35,Salaried,17,38.73,0.267,16,3.54,1,69.0,12.93,0,,,42.0,93.0,5,353.78,4,1
West Africa,Male,22,Trader,15,13.74,-0.109,20,1.91,0,1.0,0.0,0,,,20.0,72.0,5,65.97,8,0
West Africa,Male,35,Salaried,21,48.13,0.148,17,1.85,1,57.0,26.81,0,,,48.0,35.0,8,254.31,24,1
West Africa,Female,20,Salaried,17,36.49,-0.224,15,4.2,1,64.0,15.46,0,,,47.0,33.0,4,104.89,12,1
East Africa,Male,59,Farmer,15,92.16,-0.654,10,3.2,1,48.0,32.03,1,0.59,9.8,70.0,41.0,0,99.22,4,1
West Africa,Male,64,Farmer,9,64.52,0.044,8,2.41,0,1.0,0.0,0,,,77.0,65.0,7,288.79,4,0
Southern Africa,Male,30,Trader,23,312.99,-0.261,16,5.03,0,4.0,0.0,1,0.782,5.9,16.0,55.0,8,226.78,12,0
West Africa,Male,61,Trader,14,52.16,1.149,16,4.65,0,1.0,0.0,1,0.923,1.3,57.0,46.0,7,591.25,4,1
East Africa,Male,51,Trader,20,40.11,0.971,8,2.55,0,1.0,0.0,0,,,44.0,57.0,3,326.86,24,1
East Africa,Female,62,Informal worker,26,59.9,0.351,20,5.28,0,20.0,0.0,1,0.915,4.2,57.0,38.0,10,613.35,12,1
East Africa,Female,25,Salaried,2,23.66,0.06,10,1.91,1,52.0,17.34,1,0.97,13.5,47.0,75.0,1,261.84,52,1
West Africa,Female,20,Trader,25,44.73,-0.233,7,2.96,1,53.0,37.85,1,0.696,7.0,27.0,37.0,6,378.47,24,1
Southern Africa,Male,61,Self-employed,17,29.08,-0.318,16,1.92,0,18.0,0.0,1,0.439,8.5,77.0,46.0,4,90.99,24,1
Central Africa,Female,30,Salaried,13,43.66,0.078,10,6.39,0,4.0,0.0,1,0.633,25.6,70.0,74.0,6,137.85,4,1
West Africa,Female,46,Informal worker,11,24.9,-0.766,16,1.33,0,7.0,0.0,0,,,48.0,82.0,3,670.02,12,1
West Africa,Female,60,Self-employed,11,36.83,-0.708,12,1.25,0,12.0,0.0,1,0.909,17.3,75.0,87.0,4,388.61,8,1
Central Africa,Female,34,Salaried,14,110.56,1.074,10,3.2,0,12.0,0.0,0,,,62.0,12.0,3,337.17,24,1
East Africa,Male,22,Trader,16,84.03,-0.134,12,3.47,1,59.0,14.18,1,0.813,10.9,36.0,59.0,7,486.59,12,0
West Africa,Prefer not to say,55,Self-employed,23,332.1,0.433,16,7.24,1,92.0,35.01,0,,,40.0,95.0,3,489.59,4,1
West Africa,Female,39,Farmer,13,42.68,0.289,8,0.76,0,0.0,0.0,0,,,16.0,67.0,8,465.7,8,1
Southern Africa,Female,19,Trader,13,109.2,-0.462,13,4.0,0,3.0,0.0,0,,,55.0,68.0,3,153.57,24,0
Southern Africa,Female,34,Trader,14,33.79,-0.973,13,2.51,0,5.0,0.0,1,0.545,12.5,62.0,29.0,2,284.64,8,1
East Africa,Prefer not to say,42,Informal worker,34,118.82,1.713,16,9.01,1,66.0,24.66,0,,,44.0,74.0,10,137.39,12,1
Central Africa,Male,59,Self-employed,13,33.94,-0.023,11,1.29,1,61.0,18.9,1,0.693,8.5,44.0,54.0,3,584.02,4,1
East Africa,Female,28,Farmer,14,157.03,-0.081,12,3.66,1,53.0,18.51,1,0.905,11.8,45.0,53.0,3,335.86,52,1
West Africa,Female,42,Informal worker,12,35.07,0.048,9,1.6,0,4.0,0.0,1,0.887,34.5,75.0,75.0,5,520.6,24,1
East Africa,Female,26,Farmer,4,18.11,-0.15,12,1.03,0,9.0,0.0,0,,,14.0,67.0,2,311.02,8,0
East Africa,Female,31,Salaried,3,30.88,0.205,9,3.58,0,14.0,0.0,1,0.509,20.5,60.0,82.0,1,272.83,4,1
West Africa,Male,30,Trader,6,24.19,0.237,10,2.53,0,11.0,0.0,0,,,70.0,40.0,0,93.43,4,1
West Africa,Male,42,Informal worker,25,203.13,0.218,15,5.06,0,2.0,0.0,1,0.944,8.9,22.0,36.0,8,344.23,4,0
East Africa,Male,49,Informal worker,10,32.49,-0.389,12,0.92,0,8.0,0.0,1,0.538,7.8,36.0,23.0,2,111.64,4,1
Southern Africa,Female,23,Trader,5,101.67,0.474,10,3.18,0,0.0,0.0,0,,,85.0,6.0,3,529.01,8,0
West Africa,Female,21,Self-employed,20,63.87,-0.766,19,3.08,0,1.0,0.0,0,,,24.0,72.0,8,640.86,24,0
East Africa,Female,52,Self-employed,13,49.41,-0.021,17,3.17,0,11.0,0.0,0,,,44.0,88.0,2,540.68,12,1
East Africa,Female,31,Farmer,25,74.01,-0.396,18,2.21,0,14.0,0.0,1,0.921,10.6,81.0,98.0,6,734.08,12,1
East Africa,Female,47,Informal worker,18,71.64,-0.729,14,4.17,0,6.0,0.0,0,,,32.0,61.0,5,300.64,8,0
Southern Africa,Male,21,Salaried,22,94.92,-0.126,13,6.28,0,8.0,0.0,0,,,34.0,93.0,2,419.64,12,0
Southern Africa,Female,46,Trader,5,45.84,-0.928,6,1.67,0,1.0,0.0,0,,,68.0,42.0,1,298.68,8,1
Southern Africa,Female,60,Trader,9,20.85,0.065,12,1.87,0,1.0,0.0,0,,,51.0,56.0,8,177.38,4,1
West Africa,Female,38,Informal worker,6,28.98,-1.515,7,3.15,1,43.0,13.84,1,0.647,19.8,75.0,72.0,1,117.83,24,0
East Africa,Female,45,Informal worker,15,44.81,0.822,13,1.35,0,11.0,0.0,0,,,66.0,67.0,3,418.72,12,1
East Africa,Prefer not to say,31,Informal worker,17,30.85,-0.34,8,4.39,0,6.0,0.0,0,,,61.0,29.0,4,222.99,4,1
West Africa,Male,31,Informal worker,15,13.09,0.224,9,1.2,0,2.0,0.0,0,,,29.0,63.0,3,205.97,24,1
West Africa,Female,21,Informal worker,11,15.81,-0.614,10,4.16,0,7.0,0.0,0,,,63.0,59.0,2,235.42,8,1
West Africa,Female,40,Trader,11,40.1,-0.402,15,6.37,0,2.0,0.0,1,0.73,20.0,82.0,70.0,12,206.33,8,0
East Africa,Male,62,Trader,25,65.77,0.392,11,2.77,1,89.0,79.4,1,0.808,0.3,89.0,71.0,9,408.45,8,1
East Africa,Male,23,Trader,22,110.61,-0.25,8,3.69,1,58.0,67.09,1,0.435,4.3,61.0,55.0,4,369.9,8,1
West Africa,Male,37,Farmer,23,43.34,0.062,13,3.09,0,8.0,0.0,0,,,70.0,86.0,6,1026.27,8,1
Southern Africa,Male,57,Salaried,9,17.82,-0.548,12,2.96,0,12.0,0.0,1,0.966,13.8,54.0,38.0,6,396.43,12,1
Central Africa,Female,41,Salaried,29,34.37,0.462,26,1.93,1,77.0,35.07,0,,,60.0,73.0,4,560.85,8,1
West Africa,Male,53,Farmer,24,78.76,0.86,24,2.6,1,32.0,113.16,1,0.857,7.5,46.0,76.0,14,2823.48,4,1
Central Africa,Male,35,Informal worker,17,85.78,0.399,15,2.17,1,82.0,10.77,1,0.671,9.1,68.0,40.0,7,362.24,4,1
West Africa,Female,46,Trader,14,74.93,0.633,17,1.5,0,2.0,0.0,0,,,14.0,45.0,5,495.9,52,1
Central Africa,Male,64,Farmer,8,47.43,0.189,12,1.92,0,5.0,0.0,0,,,78.0,80.0,2,169.91,52,0
Central Africa,Female,46,Self-employed,17,230.07,0.847,20,3.9,1,60.0,53.99,0,,,45.0,71.0,3,1227.53,12,1
West Africa,Male,55,Trader,13,26.42,0.651,10,1.65,0,11.0,0.0,1,0.537,6.8,16.0,69.0,0,137.07,12,1
Southern Africa,Male,50,Salaried,15,20.12,-0.555,7,2.53,0,2.0,0.0,1,0.716,4.5,71.0,23.0,2,342.35,24,0
Central Africa,Prefer not to say,22,Trader,12,44.65,0.593,15,3.66,1,25.0,15.52,0,,,23.0,44.0,11,278.48,8,1
Central Africa,Female,25,Farmer,31,28.07,-0.225,13,3.11,0,2.0,0.0,0,,,48.0,48.0,6,152.72,24,1
Central Africa,Female,46,Informal worker,34,53.01,0.009,10,1.94,1,88.0,14.92,1,0.817,16.9,39.0,94.0,7,324.92,4,0
East Africa,Female,34,Salaried,25,57.47,0.454,20,3.49,0,1.0,0.0,0,,,80.0,80.0,7,325.38,12,1
West Africa,Male,40,Informal worker,25,177.79,-1.305,20,2.25,0,3.0,0.0,0,,,30.0,65.0,9,484.15,12,0
Southern Africa,Female,40,Salaried,31,53.18,0.847,25,7.79,0,10.0,0.0,0,,,58.0,95.0,15,1026.29,8,1
East Africa,Male,55,Salaried,14,166.01,-0.401,15,1.03,0,7.0,0.0,1,0.784,21.4,22.0,90.0,10,268.07,12,1
East Africa,Male,64,Informal worker,6,30.29,-1.303,9,0.78,1,88.0,6.48,1,0.783,10.7,49.0,29.0,1,224.85,52,1
East Africa,Male,64,Farmer,10,78.98,-0.013,9,1.05,0,1.0,0.0,0,,,4.0,80.0,3,325.11,4,1
East Africa,Female,21,Farmer,31,150.16,0.398,19,2.59,1,84.0,54.09,1,0.692,0.8,63.0,72.0,8,260.63,8,1
West Africa,Male,52,Informal worker,14,33.92,0.329,14,2.81,0,1.0,0.0,1,0.396,11.1,49.0,43.0,5,111.01,8,1
Southern Africa,Male,52,Informal worker,12,36.22,0.416,10,3.18,1,31.0,31.92,1,0.953,5.4,61.0,65.0,2,461.7,4,1
West Africa,Male,58,Farmer,26,72.84,1.17,13,6.83,0,12.0,0.0,0,,,58.0,65.0,15,301.74,12,1
Southern Africa,Female,38,Farmer,16,39.53,1.468,12,2.85,0,1.0,0.0,0,,,53.0,87.0,4,90.26,52,1
Southern Africa,Male,41,Trader,22,99.92,-0.525,10,1.07,1,58.0,17.63,0,,,57.0,26.0,8,571.92,8,1
East Africa,Male,39,Trader,32,57.81,-0.199,16,2.23,0,8.0,0.0,0,,,74.0,59.0,11,479.15,8,0
East Africa,Male,35,Farmer,29,24.35,1.858,23,3.89,0,1.0,0.0,0,,,82.0,79.0,9,697.94,8,1
West Africa,Female,29,Salaried,24,53.06,0.134,22,4.67,1,75.0,58.43,1,0.974,11.1,62.0,70.0,10,140.87,24,1
Central Africa,Male,48,Salaried,16,48.79,0.086,15,2.65,0,9.0,0.0,1,0.726,11.8,69.0,57.0,3,271.28,24,1
Southern Africa,Female,18,Self-employed,21,44.78,0.648,12,2.14,1,52.0,21.83,0,,,70.0,90.0,6,553.83,24,1
East Africa,Male,53,Informal worker,13,47.15,-0.029,10,1.72,1,58.0,9.81,0,,,39.0,55.0,8,76.15,24,1
West Africa,Male,57,Trader,18,62.12,0.017,10,4.51,0,3.0,0.0,1,0.93,5.7,42.0,38.0,3,152.37,4,1
West Africa,Male,28,Informal worker,25,157.24,0.885,18,1.98,1,75.0,31.89,0,,,63.0,53.0,6,552.1,12,1
East Africa,Male,28,Salaried,14,69.07,-0.677,14,5.25,0,10.0,0.0,1,0.728,20.0,49.0,51.0,3,709.98,4,0
Central Africa,Male,41,Informal worker,15,12.77,-0.695,9,2.31,0,8.0,0.0,0,,,54.0,62.0,6,603.88,4,1
Southern Africa,Male,57,Farmer,10,11.03,-0.481,6,1.76,0,7.0,0.0,0,,,60.0,46.0,0,75.17,24,1
West Africa,Female,23,Informal worker,16,33.01,-1.239,16,2.2,1,56.0,27.2,0,,,39.0,60.0,1,165.78,24,0
Central Africa,Male,38,Trader,28,105.42,-0.533,22,6.29,1,39.0,13.47,1,0.777,8.9,50.0,56.0,7,236.88,4,1
East Africa,Male,28,Trader,13,32.32,0.62,10,1.25,0,8.0,0.0,1,0.794,8.5,40.0,48.0,1,41.91,12,0
Central Africa,Male,58,Trader,23,25.83,-0.892,16,2.37,0,12.0,0.0,1,0.941,9.1,67.0,40.0,7,745.84,8,0
West Africa,Male,59,Farmer,11,49.12,-0.555,17,2.39,0,4.0,0.0,0,,,47.0,46.0,3,145.95,12,1
East Africa,Male,21,Salaried,14,62.75,0.441,11,3.74,1,83.0,20.67,0,,,19.0,83.0,2,986.11,8,1
Central Africa,Male,24,Trader,15,74.27,0.445,9,2.83,0,12.0,0.0,1,0.843,9.9,54.0,28.0,4,342.83,12,1
West Africa,Male,25,Trader,17,34.52,0.259,21,2.63,1,40.0,9.73,0,,,53.0,67.0,5,519.77,24,1
Southern Africa,Male,56,Salaried,8,78.26,-0.2,12,2.25,0,2.0,0.0,0,,,67.0,87.0,4,174.82,12,1
Central Africa,Female,60,Salaried,10,45.79,-0.647,13,1.68,1,78.0,10.82,1,0.711,9.0,63.0,60.0,4,130.36,8,1
West Africa,Female,35,Farmer,11,18.18,-0.176,9,5.44,1,99.0,27.28,0,,,78.0,62.0,6,85.33,4,1
West Africa,Female,25,Farmer,14,89.09,0.336,18,1.61,1,96.0,72.78,1,0.685,1.7,20.0,84.0,8,203.17,8,1
Southern Africa,Male,49,Farmer,8,27.69,-1.196,14,1.78,0,4.0,0.0,0,,,75.0,77.0,2,316.11,4,1
West Africa,Female,59,Informal worker,23,100.5,0.812,10,3.01,1,63.0,14.04,1,0.915,12.4,54.0,86.0,12,399.45,12,1
West Africa,Male,60,Salaried,24,13.13,0.086,17,1.98,0,2.0,0.0,0,,,37.0,65.0,3,108.55,24,0
East Africa,Male,38,Trader,32,55.03,-0.1,14,2.39,0,1.0,0.0,0,,,59.0,59.0,6,429.35,24,1
Southern Africa,Female,54,Self-employed,17,35.95,0.496,17,1.56,0,24.0,0.0,1,0.87,31.9,37.0,50.0,6,304.14,8,1
West Africa,Male,62,Informal worker,20,119.76,1.069,20,4.94,1,29.0,37.22,1,0.706,1.0,52.0,80.0,5,206.03,8,1
West Africa,Male,56,Informal worker,4,20.88,-0.325,11,1.22,1,65.0,15.6,1,0.73,8.2,52.0,53.0,1,80.37,4,1
Southern Africa,Female,40,Trader,17,63.09,0.377,21,4.67,0,6.0,0.0,1,0.867,18.5,66.0,84.0,5,291.32,8,1
East Africa,Female,30,Self-employed,20,32.61,-0.407,14,1.83,1,63.0,15.64,0,,,30.0,40.0,3,299.55,4,1
Southern Africa,Male,35,Farmer,17,73.37,-0.746,18,2.23,1,60.0,15.54,0,,,52.0,95.0,6,818.87,24,1
East Africa,Male,34,Farmer,6,29.58,-0.86,10,2.0,0,9.0,0.0,1,0.824,22.1,49.0,71.0,3,248.19,4,1
Central Africa,Male,64,Farmer,16,25.64,-0.222,8,4.71,1,94.0,19.56,0,,,20.0,23.0,1,350.36,8,1
Southern Africa,Prefer not to say,52,Trader,24,86.32,-0.473,15,3.91,1,66.0,21.9,0,,,53.0,71.0,5,510.76,4,1
West Africa,Male,58,Trader,9,35.02,-0.598,13,2.9,0,3.0,0.0,0,,,46.0,69.0,5,535.42,8,1
Central Africa,Male,54,Trader,31,49.09,-0.321,10,6.05,0,11.0,0.0,0,,,58.0,40.0,6,296.58,52,1
East Africa,Male,40,Trader,16,42.98,0.228,15,5.74,0,10.0,0.0,0,,,51.0,89.0,5,308.67,12,1
West Africa,Female,55,Farmer,10,47.24,0.048,8,1.59,1,58.0,20.61,1,0.893,7.7,33.0,34.0,1,286.27,12,1
West Africa,Female,48,Informal worker,24,81.29,0.812,19,3.73,1,88.0,56.5,0,,,77.0,54.0,7,1450.58,12,1
Southern Africa,Male,52,Informal worker,26,23.82,1.018,15,2.72,0,16.0,0.0,0,,,43.0,46.0,3,223.32,8,0
West Africa,Female,32,Informal worker,10,32.51,-0.985,4,2.1,0,14.0,0.0,0,,,47.0,64.0,4,236.59,8,0
West Africa,Male,28,Trader,18,136.93,0.719,16,5.55,0,2.0,0.0,0,,,85.0,40.0,3,113.77,8,1
West Africa,Female,26,Farmer,19,37.7,0.359,19,5.26,0,19.0,0.0,1,0.568,68.3,73.0,90.0,6,431.59,24,1
East Africa,Male,31,Informal worker,3,24.9,-0.219,6,1.97,0,16.0,0.0,0,,,4.0,62.0,0,489.51,4,0
East Africa,Male,63,Informal worker,9,19.85,0.694,8,2.47,0,1.0,0.0,1,0.884,29.4,47.0,11.0,4,51.22,4,1
East Africa,Male,62,Farmer,23,35.34,-1.064,13,2.06,1,69.0,12.95,0,,,22.0,61.0,3,374.33,4,1
West Africa,Prefer not to say,24,Self-employed,10,29.87,-0.332,10,2.18,0,1.0,0.0,1,0.881,35.4,35.0,49.0,3,834.03,12,0
West Africa,Female,44,Salaried,8,59.72,-0.361,12,2.52,1,52.0,14.49,0,,,64.0,77.0,3,193.08,4,1
East Africa,Female,62,Salaried,22,34.59,-0.534,16,3.59,1,56.0,19.06,0,,,36.0,65.0,7,221.94,12,0
East Africa,Male,53,Informal worker,20,142.62,0.112,15,2.74,0,4.0,0.0,0,,,65.0,64.0,3,168.89,4,1
Southern Africa,Male,46,Farmer,15,23.0,0.17,20,4.05,1,27.0,18.5,1,0.745,18.4,21.0,71.0,5,312.68,8,0
West Africa,Male,46,Self-employed,18,42.32,-0.214,5,3.05,0,2.0,0.0,1,0.374,22.9,19.0,56.0,3,328.36,8,0
West Africa,Male,33,Self-employed,20,24.88,-0.717,15,2.32,1,58.0,33.69,0,,,37.0,28.0,7,234.08,12,0
West Africa,Male,61,Salaried,16,52.07,-0.092,12,2.32,0,21.0,0.0,0,,,80.0,45.0,3,332.31,24,1
East Africa,Female,21,Salaried,15,85.08,-0.717,8,3.47,0,1.0,0.0,0,,,65.0,81.0,3,527.3,8,0
East Africa,Female,58,Self-employed,17,68.88,-0.314,16,1.8,1,55.0,42.66,1,0.782,15.5,57.0,65.0,3,108.72,12,0
Southern Africa,Female,58,Informal worker,6,13.0,-0.925,3,2.17,1,45.0,64.52,0,,,21.0,61.0,2,258.51,52,1
East Africa,Male,30,Trader,31,257.99,1.664,13,2.7,1,53.0,31.47,0,,,73.0,70.0,6,89.31,4,1
East Africa,Male,42,Farmer,7,54.57,-0.602,11,2.08,0,10.0,0.0,0,,,35.0,20.0,2,210.42,52,1
East Africa,Male,59,Informal worker,37,68.16,0.463,17,22.2,0,7.0,0.0,0,,,60.0,97.0,8,245.6,12,1
West Africa,Male,40,Salaried,12,33.06,-0.296,8,1.58,0,1.0,0.0,0,,,58.0,74.0,3,85.36,12,0
East Africa,Female,32,Farmer,22,66.0,-0.094,23,5.68,0,10.0,0.0,1,0.919,2.4,65.0,54.0,9,1007.69,4,1
West Africa,Female,21,Farmer,20,25.86,0.996,22,2.54,1,47.0,30.17,0,,,61.0,72.0,5,97.92,8,1
East Africa,Male,38,Self-employed,17,34.54,0.532,18,2.67,1,33.0,20.32,1,0.624,2.7,68.0,65.0,11,156.21,24,1
West Africa,Male,31,Farmer,23,55.16,0.413,13,5.5,0,4.0,0.0,0,,,61.0,43.0,3,435.7,12,1
Southern Africa,Female,58,Trader,12,92.15,-0.151,7,1.03,1,94.0,22.8,0,,,55.0,75.0,3,191.33,4,1
Central Africa,Male,58,Informal worker,15,30.52,0.378,16,0.84,0,18.0,0.0,1,0.466,6.0,31.0,83.0,4,104.26,12,1
West Africa,Female,33,Farmer,25,53.97,0.221,18,2.44,1,73.0,34.32,1,0.677,6.7,19.0,52.0,6,149.65,12,1
East Africa,Female,27,Trader,9,63.16,0.314,8,1.19,1,55.0,26.31,1,0.698,12.2,40.0,72.0,4,224.99,4,1
Southern Africa,Female,31,Informal worker,32,115.61,0.792,17,6.71,1,75.0,37.78,0,,,14.0,47.0,4,247.33,12,1
West Africa,Male,36,Self-employed,14,138.67,-0.082,24,2.55,0,5.0,0.0,1,0.743,2.5,56.0,59.0,6,451.29,4,1
Southern Africa,Female,49,Farmer,17,82.2,0.113,12,1.45,0,9.0,0.0,1,0.828,18.4,63.0,50.0,13,278.01,12,1
East Africa,Female,25,Farmer,6,35.15,0.134,7,1.63,0,8.0,0.0,0,,,50.0,27.0,2,189.23,8,1
Central Africa,Male,64,Farmer,6,37.88,-0.211,8,2.96,0,2.0,0.0,0,,,38.0,29.0,2,225.06,4,1
